,样本 (S),建筑立面 (F),建筑立面占比 (F_ratio),窗玻璃 (WG),窗玻璃占比 (WG_ratio),栏杆 (R),栏杆占比 (R_ratio),设备 (E),设备占比 (E_ratio),天空 (SK),天空占比 (SK_ratio),树木 (T),树木占比 (T_ratio),道路等 (RO),道路等占比 (RO_ratio),窗玻璃占建筑比 (WGR),设备占建筑比 (ER),建筑墙面占比 (FR),建筑立面H均值 (BH_mean),建筑立面S均值 (BS_mean),建筑立面L均值 (BL_mean),建筑立面H方差 (BH_mse),建筑立面S方差 (BS_mse),建筑立面L方差 (BL_mse),窗玻璃H均值 (WH_mean),窗玻璃S均值 (WS_mean),窗玻璃L均值 (WL_mean),窗玻璃H方差 (WH_mse),窗玻璃S方差 (WS_mse),窗玻璃L方差 (WL_mse)
,S,F,F_ratio,WG,WG_ratio,R,R_ratio,E,E_ratio,SK,SK_ratio,T,T_ratio,RO,RO_ratio,WGR,ER,FR,BH_mean,BS_mean,BL_mean,BH_mse,BS_mse,BL_mse,WH_mean,WS_mean,WL_mean,WH_mse,WS_mse,WL_mse
30,F30,2820682,0.3344,1248701,0.148,29831,0.0035,9573,0.0011,3397188,0.4028,468163,0.0555,460244,0.0546,0.3061,0.0023,0.6915,0.3071,0.0552,0.4282,0.0699,0.0055,0.0317,0.5858,0.287,0.5495,0.0013,0.0098,0.0429
31,F31,1967213,0.2932,674118,0.1005,128461,0.0191,27299,0.0041,2075256,0.3093,2781969,0.4146,-944822,-0.1408,0.2526,0.0102,0.7372,0.323,0.0654,0.5818,0.1087,0.0117,0.0518,0.5811,0.1751,0.3791,0.0333,0.0418,0.0321
32,F32,2170674,0.3166,524885,0.0766,32661,0.0048,1672,0.0002,2693225,0.3928,1476307,0.2153,-43540,-0.0064,0.1946,0.0006,0.8048,0.2391,0.0383,0.5564,0.0446,0.0018,0.0237,0.5627,0.2836,0.3446,0.0041,0.0107,0.0038
33,F33,3052095,0.452,707690,0.1048,16683,0.0025,0,0,2427546,0.3595,0,0,548182,0.0812,0.1882,0,0.8118,0.3359,0.0745,0.5327,0.0472,0.0111,0.0245,0.4824,0.139,0.3148,0.0159,0.0073,0.0412
34,F34,3713501,0.3519,812125,0.077,786583,0.0745,47187,0.0045,2525645,0.2393,1057131,0.1002,1610964,0.1527,0.1776,0.0103,0.8121,0.26,0.0854,0.4399,0.0489,0.0303,0.0514,0.4374,0.147,0.372,0.051,0.0182,0.0595
35,F35,132283,0.0176,1973610,0.2627,557470,0.0742,0,0,3203410,0.4263,2461910,0.3277,-814911,-0.1085,0.9372,0,0.0628,0.3054,0.1637,0.2342,0.0997,0.021,0.0146,0.582,0.1693,0.5059,0.0013,0.0028,0.0118
36,F36,1495854,0.2312,1041844,0.1611,0,0,2975,0.0005,2879463,0.4451,753400,0.1165,295214,0.0456,0.4101,0.0012,0.5888,0.3889,0.0863,0.3366,0.088,0.0129,0.0368,0.4674,0.1821,0.4368,0.0645,0.0283,0.0752
37,F37,2545230,0.3852,68843,0.0104,0,0,0,0,2853827,0.4319,1679781,0.2542,-539644,-0.0817,0.0263,0,0.9737,0.1565,0.111,0.4873,0.041,0.0093,0.0471,0.5078,0.0519,0.2474,0.0663,0.0025,0.0259
38,F38,1835706,0.1988,1445660,0.1566,164004,0.0178,0,0,2764539,0.2994,3272609,0.3544,-248846,-0.0269,0.4406,0,0.5594,0.1505,0.0798,0.5711,0.0263,0.0073,0.0359,0.4986,0.1064,0.4498,0.0795,0.0138,0.041
39,F39,2750743,0.4472,56670,0.0092,0,0,0,0,1731416,0.2815,1419311,0.2307,193073,0.0314,0.0202,0,0.9798,0.3236,0.0499,0.464,0.0617,0.0158,0.062,0.5419,0.2175,0.5003,0.0171,0.0214,0.0557
40,F40,1812170,0.2114,1690937,0.1972,339524,0.0396,0,0,2543749,0.2967,1223322,0.1427,962906,0.1123,0.4827,0,0.5173,0.1607,0.2284,0.5028,0.0462,0.0167,0.0547,0.4337,0.2291,0.3754,0.0608,0.0326,0.0511
41,F41,868806,0.1369,1980343,0.312,0,0,7,0,1926857,0.3036,2169812,0.3418,-598318,-0.0943,0.6951,0,0.3049,0.1769,0.061,0.6121,0.0413,0.0088,0.0395,0.5118,0.1327,0.3531,0.0572,0.0121,0.0489
42,F42,3303221,0.3962,510847,0.0613,0,0,5586,0.0007,3256296,0.3906,1122708,0.1347,138957,0.0167,0.1337,0.0015,0.8648,0.1107,0.199,0.3735,0.0187,0.0107,0.0243,0.2318,0.087,0.3024,0.0604,0.0135,0.0404
